

------------------------ For cluster centers -------------------------


9.5	4.5	1.0	
9.799999999999999	9.6	2.0	
3.1666666666666665	4.0	3.0	
15.5	5.0	4.0	


----------------- For Clustering ------------------------

2.0	4.0	2.0	
3.0	3.0	2.0	
3.0	4.0	2.0	
3.0	5.0	2.0	
4.0	3.0	2.0	
4.0	5.0	2.0	
9.0	4.0	4.0	
9.0	5.0	4.0	
9.0	9.0	3.0	
9.0	10.0	3.0	
10.0	4.0	4.0	
10.0	5.0	4.0	
10.0	9.0	3.0	
10.0	10.0	3.0	
11.0	10.0	3.0	
15.0	4.0	1.0	
15.0	5.0	1.0	
15.0	6.0	1.0	
16.0	4.0	1.0	
16.0	5.0	1.0	
16.0	6.0	1.0	
